train_mse,val_mse,test_mse,train_phy,val_phy,test_phy,train_norm_phy,train_e,val_e,test_e,val_norm_phy,test_norm_phy,train_all,val_all,test_all,lambda_s_train,lambda_s_test,lambda_e_train,lambda_e_test
0.0023037767969071865,0.0023037767969071865,0.03646744787693024,0.04070170968770981,0.04116397351026535,0.2032671868801117,0.03929755464196205,0.30466821789741516,0.30454376339912415,0.3571099042892456,0.03971356153488159,0.2907564640045166,0.0023037767969071865,0.0,0.0,0.0,0.0,0.0,0.0
0.0011889126617461443,0.0011889126617461443,0.03461862727999687,0.016046352684497833,0.016079334542155266,0.1843498945236206,0.017748361453413963,0.3317790925502777,0.3319368362426758,0.3630106449127197,0.01779075898230076,0.26685458421707153,0.0011889126617461443,0.0,0.0,0.0,0.0,0.0,0.0
0.0012586831580847502,0.0012586831580847502,0.03576101362705231,0.009542451240122318,0.009499136358499527,0.18096205592155457,0.011936943978071213,0.35796284675598145,0.35817208886146545,0.38364315032958984,0.011887817643582821,0.2853110432624817,0.0012586831580847502,0.0,0.0,0.0,0.0,0.0,0.0
0.0019581124652177095,0.0019581124652177095,0.03918662667274475,0.011440062895417213,0.011335671879351139,0.18742360174655914,0.015624014660716057,0.38116562366485596,0.3812345266342163,0.41201552748680115,0.0154743492603302,0.33465349674224854,0.0019581124652177095,0.0,0.0,0.0,0.0,0.0,0.0
0.00285276398062706,0.00285276398062706,0.04252858832478523,0.0164107084274292,0.01623559184372425,0.1949719935655594,0.023651981726288795,0.40029141306877136,0.4002375900745392,0.43535521626472473,0.023368682712316513,0.3807043731212616,0.00285276398062706,0.0,0.0,0.0,0.0,0.0,0.0
0.0035631589125841856,0.0035631589125841856,0.04382430016994476,0.021609840914607048,0.021428288891911507,0.20169588923454285,0.03167871758341789,0.41461336612701416,0.41459590196609497,0.4459325075149536,0.031369153410196304,0.39696934819221497,0.0035631589125841856,0.0,0.0,0.0,0.0,0.0,0.0
0.003928281832486391,0.003928281832486391,0.043244943022727966,0.02590368315577507,0.025783801451325417,0.20938898622989655,0.03754770755767822,0.42396244406700134,0.42411163449287415,0.44551658630371094,0.03734854608774185,0.3870454430580139,0.003928281832486391,0.0,0.0,0.0,0.0,0.0,0.0
0.003944211173802614,0.003944211173802614,0.042240653187036514,0.0286821648478508,0.02863530069589615,0.21875062584877014,0.04046139866113663,0.42853105068206787,0.42884039878845215,0.44108259677886963,0.04039885103702545,0.3713342249393463,0.003944211173802614,0.0,0.0,0.0,0.0,0.0,0.0
0.003629199229180813,0.003629199229180813,0.041877780109643936,0.02949056401848793,0.02947019599378109,0.22900773584842682,0.03986256197094917,0.4286014437675476,0.42894574999809265,0.4382937252521515,0.03984861075878143,0.36449071764945984,0.003629199229180813,0.0,0.0,0.0,0.0,0.0,0.0
0.003058201400563121,0.003058201400563121,0.042268089950084686,0.028227606788277626,0.028172194957733154,0.2385910153388977,0.036031752824783325,0.424704372882843,0.42494261264801025,0.43837499618530273,0.03596130385994911,0.3681916296482086,0.003058201400563121,0.0,0.0,0.0,0.0,0.0,0.0
0.0023761210031807423,0.0023761210031807423,0.042780935764312744,0.025172822177410126,0.025058811530470848,0.24630841612815857,0.03016989678144455,0.417648583650589,0.4177277982234955,0.4382263422012329,0.030015628784894943,0.37374016642570496,0.0023761210031807423,0.0,0.0,0.0,0.0,0.0,0.0
0.0017016796628013253,0.0017016796628013253,0.04252009466290474,0.020759684965014458,0.020623955875635147,0.25204917788505554,0.02335025556385517,0.4082472622394562,0.40823304653167725,0.4329315423965454,0.0231767725199461,0.36823174357414246,0.0017016796628013253,0.0,0.0,0.0,0.0,0.0,0.0
0.0011147062759846449,0.0011147062759846449,0.04116400331258774,0.015531008131802082,0.015435118228197098,0.2559342086315155,0.01639435440301895,0.39726361632347107,0.39727601408958435,0.4202197194099426,0.016282591968774796,0.34618231654167175,0.0011147062759846449,0.0,0.0,0.0,0.0,0.0,0.0
0.0007005345541983843,0.0007005345541983843,0.03941613808274269,0.010381839238107204,0.010348985902965069,0.2576915919780731,0.010347811505198479,0.38551199436187744,0.3856193423271179,0.40332722663879395,0.010313879698514938,0.3166850507259369,0.0007005345541983843,0.0,0.0,0.0,0.0,0.0,0.0
0.0004939123173244298,0.0004939123173244298,0.03820754215121269,0.006278232671320438,0.0062815845012664795,0.25732186436653137,0.005963539704680443,0.37373462319374084,0.373898446559906,0.388484388589859,0.005967576522380114,0.29399770498275757,0.0004939123173244298,0.0,0.0,0.0,0.0,0.0,0.0
0.0004585000278893858,0.0004585000278893858,0.037806373089551926,0.0037689153105020523,0.0037881582975387573,0.254919171333313,0.0034089460968971252,0.362547367811203,0.3626665771007538,0.379643052816391,0.0034254391212016344,0.2843547761440277,0.0004585000278893858,0.0,0.0,0.0,0.0,0.0,0.0
0.0005553665687330067,0.0005553665687330067,0.03787935897707939,0.003198255319148302,0.0032531407196074724,0.2511124908924103,0.0027573048137128353,0.3525474965572357,0.352558434009552,0.37560972571372986,0.0028011437971144915,0.28381699323654175,0.0005553665687330067,0.0,0.0,0.0,0.0,0.0,0.0
0.0007244303124025464,0.0007244303124025464,0.03781168535351753,0.004421158693730831,0.004532673396170139,0.2472151815891266,0.0037021187599748373,0.34419935941696167,0.34413546323776245,0.3714970648288727,0.003789434675127268,0.2826232612133026,0.0007244303124025464,0.0,0.0,0.0,0.0,0.0,0.0
0.0008774778689257801,0.0008774778689257801,0.037189871072769165,0.006535474210977554,0.006680029444396496,0.24400345981121063,0.005427607800811529,0.3377470374107361,0.3377014398574829,0.3638884127140045,0.005539427511394024,0.2742060124874115,0.0008774778689257801,0.0,0.0,0.0,0.0,0.0,0.0
0.0009671444422565401,0.0009671444422565401,0.036264389753341675,0.00870591588318348,0.008836682885885239,0.24133627116680145,0.007273281458765268,0.33332592248916626,0.3333570063114166,0.35481828451156616,0.007374199572950602,0.2626170217990875,0.0009671444422565401,0.0,0.0,0.0,0.0,0.0,0.0
0.0009707991848699749,0.0009707991848699749,0.03551836684346199,0.01020570658147335,0.010316049680113792,0.23790915310382843,0.008658335544168949,0.3309251666069031,0.33100470900535583,0.34927016496658325,0.008744663558900356,0.25582030415534973,0.0009707991848699749,0.0,0.0,0.0,0.0,0.0,0.0
0.0008778340998105705,0.0008778340998105705,0.03515182062983513,0.010437071323394775,0.010562694631516933,0.23258021473884583,0.009073477238416672,0.3303838074207306,0.3304356634616852,0.34978002309799194,0.009174417704343796,0.2566910982131958,0.0008778340998105705,0.0,0.0,0.0,0.0,0.0,0.0
0.0007231708732433617,0.0007231708732433617,0.035076357424259186,0.009518351405858994,0.009673254564404488,0.22641673684120178,0.008528491482138634,0.331503301858902,0.3314836025238037,0.35434800386428833,0.008657317608594894,0.26240110397338867,0.0007231708732433617,0.0,0.0,0.0,0.0,0.0,0.0
0.0005507898749783635,0.0005507898749783635,0.03494054079055786,0.007847649976611137,0.00800197571516037,0.22078068554401398,0.007269187364727259,0.3340122103691101,0.33394959568977356,0.3586266040802002,0.007402953691780567,0.2664847671985626,0.0005507898749783635,0.0,0.0,0.0,0.0,0.0,0.0
0.0003907976788468659,0.0003907976788468659,0.03446494787931442,0.005815435200929642,0.005934679880738258,0.2157922238111496,0.005580637138336897,0.3375653326511383,0.33752718567848206,0.360115110874176,0.0056889732368290424,0.2645597457885742,0.0003907976788468659,0.0,0.0,0.0,0.0,0.0,0.0
0.0002748187689576298,0.0002748187689576298,0.033824946731328964,0.003950859885662794,0.0040274555794894695,0.21129943430423737,0.003925928846001625,0.34182649850845337,0.3418533504009247,0.3601483702659607,0.003999133128672838,0.2592340409755707,0.0002748187689576298,0.0,0.0,0.0,0.0,0.0,0.0
0.00021532762912102044,0.00021532762912102044,0.033420778810977936,0.0025789286009967327,0.0026262502651661634,0.20742928981781006,0.0026495398487895727,0.34645721316337585,0.3465312123298645,0.36169785261154175,0.0026969590689986944,0.25638315081596375,0.00021532762912102044,0.0,0.0,0.0,0.0,0.0,0.0
